ID,addsc,gender,repeat.,iq,engl,engg,gpa,socprob,dropout
1,45,male,No,111,2,3,2.6,No,No
2,50,male,No,102,2,3,2.75,No,No
3,49,male,No,108,2,4,4,No,No
4,55,male,No,109,2,2,2.25,No,No
5,39,male,No,118,2,3,3,No,No
6,68,male,Yes,79,2,2,1.67,No,Yes
7,69,male,Yes,88,2,2,2.25,Yes,Yes
8,56,male,No,102,2,4,3.4,No,No
9,58,male,No,105,3,1,1.33,No,No
10,48,male,No,92,2,4,3.5,No,No
11,34,male,No,131,2,4,3.75,No,No
12,50,female,No,104,1,3,2.67,No,No
13,85,male,No,83,2,3,2.75,Yes,No
14,49,male,No,84,2,2,2,No,No
15,51,male,No,85,2,3,2.75,No,No
16,53,male,No,110,2,2,2.5,No,No
17,36,female,No,121,1,4,3.55,No,No
18,62,female,No,120,2,3,2.75,No,No
19,46,female,No,100,2,4,3.5,No,No
20,50,female,No,94,2,2,2.75,Yes,Yes
21,47,female,No,89,1,2,3,No,No
22,50,female,No,93,2,4,3.25,No,No
23,44,female,No,128,2,4,3.3,No,No
24,50,female,No,84,2,3,2.75,No,No
25,29,female,No,127,1,4,3.75,No,No
26,49,female,No,106,2,3,2.75,No,No
27,26,male,No,137,2,3,3,No,No
28,85,male,Yes,82,3,2,1.75,Yes,Yes
29,53,male,No,106,2,3,2.75,Yes,No
30,53,male,No,109,2,2,1.33,No,No
31,72,male,No,91,2,2,0.67,No,No
32,35,male,No,111,2,2,2.25,No,No
33,42,male,No,105,2,2,1.75,No,No
34,37,male,No,118,2,4,3.25,No,No
35,46,male,No,103,3,2,1.75,No,No
36,48,male,No,101,1,3,3,No,No
37,46,male,No,101,3,3,3,No,No
38,49,male,Yes,95,2,3,3,No,No
39,65,male,Yes,108,2,3,3.25,No,No
40,52,male,No,95,3,3,2.25,Yes,No
41,75,male,Yes,98,2,1,1,No,Yes
42,58,male,No,82,2,3,2.5,No,Yes
43,43,female,No,100,1,3,3,No,No
44,60,female,No,100,2,3,2.4,No,No
45,43,male,No,107,1,2,2,No,No
46,51,male,No,95,2,2,2.75,No,No
47,70,male,Yes,97,2,3,2.67,Yes,Yes
48,69,male,Yes,93,2,2,2,No,No
49,65,male,Yes,81,1,2,2,No,No
50,63,female,No,89,2,2,1.67,No,No
51,44,female,No,111,2,4,3,No,No
52,61,female,Yes,95,2,1,1.5,No,Yes
53,40,female,No,106,2,4,3.75,No,No
54,62,female,No,83,3,1,0.67,No,No
55,59,male,No,81,2,2,1.5,No,No
56,47,female,No,115,1,4,4,No,No
57,50,female,No,112,2,3,3,No,No
58,50,female,No,92,2,3,2.33,No,No
59,65,female,No,85,2,2,1.75,No,No
60,54,female,No,95,3,2,3,No,No
61,44,female,No,115,2,4,3.75,No,No
62,66,female,No,91,2,4,2.67,Yes,Yes
63,34,female,No,107,1,4,3.5,No,No
64,74,female,No,102,2,0,0.67,No,No
65,57,female,Yes,86,3,3,2.25,No,No
66,60,female,No,96,1,3,3,Yes,No
67,36,female,No,114,2,3,3.5,No,No
68,50,male,No,105,2,2,1.75,No,No
69,60,male,No,82,2,1,1,No,No
70,45,male,No,120,2,3,3,No,No
71,55,male,No,88,2,1,1,No,Yes
72,44,male,No,90,1,3,2.5,No,No
73,57,female,No,85,2,3,2.5,No,No
74,33,female,No,106,1,4,3.75,No,No
75,30,female,No,109,1,4,3.5,No,No
76,64,male,No,75,3,2,1,Yes,No
77,49,male,Yes,91,2,3,2.25,No,No
78,76,male,No,96,2,2,1,No,No
79,40,male,No,108,2,3,2.5,No,No
80,48,male,No,86,2,3,2.75,No,No
81,65,male,No,98,2,2,0.75,No,No
82,50,male,No,99,2,2,1.3,No,No
83,70,male,No,95,2,1,1.25,No,No
84,78,male,No,88,3,3,1.5,No,No
85,44,male,No,111,2,2,3,No,No
86,48,male,No,103,2,1,2,No,No
87,52,male,No,107,2,2,2,No,No
88,40,male,No,118,2,2,2.5,No,No
