"fingerType","maternalSmoking"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
"normal","smoker"
