"","fish","exposureDurationMin","mortality"
"1",1,3,1
"2",2,3,1
"3",3,3,1
"4",4,3,1
"5",5,3,1
"6",6,3,1
"7",7,3,1
"8",8,3,1
"9",9,3,1
"10",10,3,1
"11",11,3,1
"12",12,3,0
"13",13,3,0
"14",14,3,0
"15",15,3,0
"16",16,3,0
"17",17,3,0
"18",18,3,0
"19",19,3,0
"20",20,3,0
"21",21,3,0
"22",22,3,0
"23",23,3,0
"24",24,3,0
"25",25,3,0
"26",26,3,0
"27",27,3,0
"28",28,3,0
"29",29,3,0
"30",30,3,0
"31",31,3,0
"32",32,3,0
"33",33,3,0
"34",34,3,0
"35",35,3,0
"36",36,3,0
"37",37,3,0
"38",38,3,0
"39",39,3,0
"40",40,3,0
"41",41,8,1
"42",42,8,1
"43",43,8,1
"44",44,8,1
"45",45,8,1
"46",46,8,1
"47",47,8,1
"48",48,8,1
"49",49,8,1
"50",50,8,1
"51",51,8,1
"52",52,8,1
"53",53,8,1
"54",54,8,1
"55",55,8,1
"56",56,8,1
"57",57,8,1
"58",58,8,1
"59",59,8,1
"60",60,8,1
"61",61,8,1
"62",62,8,1
"63",63,8,1
"64",64,8,1
"65",65,8,0
"66",66,8,0
"67",67,8,0
"68",68,8,0
"69",69,8,0
"70",70,8,0
"71",71,8,0
"72",72,8,0
"73",73,8,0
"74",74,8,0
"75",75,8,0
"76",76,8,0
"77",77,8,0
"78",78,8,0
"79",79,8,0
"80",80,8,0
"81",81,12,1
"82",82,12,1
"83",83,12,1
"84",84,12,1
"85",85,12,1
"86",86,12,1
"87",87,12,1
"88",88,12,1
"89",89,12,1
"90",90,12,1
"91",91,12,1
"92",92,12,1
"93",93,12,1
"94",94,12,1
"95",95,12,1
"96",96,12,1
"97",97,12,1
"98",98,12,1
"99",99,12,1
"100",100,12,1
"101",101,12,1
"102",102,12,1
"103",103,12,1
"104",104,12,1
"105",105,12,1
"106",106,12,1
"107",107,12,1
"108",108,12,1
"109",109,12,1
"110",110,12,0
"111",111,12,0
"112",112,12,0
"113",113,12,0
"114",114,12,0
"115",115,12,0
"116",116,12,0
"117",117,12,0
"118",118,12,0
"119",119,12,0
"120",120,12,0
"121",121,18,1
"122",122,18,1
"123",123,18,1
"124",124,18,1
"125",125,18,1
"126",126,18,1
"127",127,18,1
"128",128,18,1
"129",129,18,1
"130",130,18,1
"131",131,18,1
"132",132,18,1
"133",133,18,1
"134",134,18,1
"135",135,18,1
"136",136,18,1
"137",137,18,1
"138",138,18,1
"139",139,18,1
"140",140,18,1
"141",141,18,1
"142",142,18,1
"143",143,18,1
"144",144,18,1
"145",145,18,1
"146",146,18,1
"147",147,18,1
"148",148,18,1
"149",149,18,1
"150",150,18,1
"151",151,18,1
"152",152,18,1
"153",153,18,1
"154",154,18,1
"155",155,18,1
"156",156,18,1
"157",157,18,1
"158",158,18,1
"159",159,18,0
"160",160,18,0
