"","tubeLengthMm","grainsDeposited"
"1",38,299
"2",54,205
"3",53,167
"4",55,122
"5",64,129
"6",64,64
"7",57,32
"8",51,91
"9",49,87
"10",47,68
"11",47,57
"12",45,23
"13",45,12
"14",44,3
"15",26,216
"16",29,210
"17",35,128
"18",44,115
"19",40,109
"20",39,105
"21",42,93
"22",42,80
"23",43,62
"24",40,36
"25",37,32
"26",36,44
"27",35,6
"28",34,19
"29",31,16
"30",32,20
"31",32,84
"32",29,117
"33",28,129
"34",23,127
"35",26,105
"36",27,83
"37",20,106
"38",24,62
"39",22,62
"40",20,70
"41",13,61
"42",15,48
"43",19,42
"44",19,32
"45",6,26
"46",8,42
"47",6,3
"48",7,1
"49",8,4
"50",9,9
"51",12,24
"52",26,39
"53",27,29
"54",26,24
"55",25,17
"56",25,7
"57",25,1
"58",26,3
"59",27,0
"60",22,4
"61",21,9
"62",20,11
"63",20,2
"64",18,0
"65",16,13
"66",16,8
"67",15,6
"68",14,1
"69",13,7
"70",12,11
"71",11,1
"72",12,5
"73",13,0
"74",12,1
