"","nSpecies","biomassStability"
"1",1,7.47
"2",1,6.74
"3",1,6.61
"4",1,6.4
"5",1,5.67
"6",1,5.26
"7",1,4.8
"8",1,4.4
"9",1,4.4
"10",1,4.26
"11",1,4.2
"12",1,4
"13",1,3.73
"14",1,3.4
"15",1,3.27
"16",1,3
"17",1,3.01
"18",1,3.07
"19",1,2.87
"20",1,2.8
"21",1,2.53
"22",1,2.54
"23",1,2.54
"24",1,2.53
"25",1,2.33
"26",1,2.26
"27",1,2.33
"28",1,2.33
"29",1,2.41
"30",1,2.13
"31",1,2.07
"32",1,2.21
"33",1,2.07
"34",2,7.41
"35",2,7.01
"36",2,6.08
"37",2,5.61
"38",2,5.07
"39",2,4.8
"40",2,4.94
"41",2,5.01
"42",2,4.46
"43",2,4.53
"44",2,4.33
"45",2,3.73
"46",2,3.81
"47",2,3.73
"48",2,3.86
"49",2,3.86
"50",2,3.82
"51",2,3.66
"52",2,3.47
"53",2,3.32
"54",2,3.27
"55",2,3.2
"56",2,3.19
"57",2,3.07
"58",2,2.93
"59",2,2.73
"60",2,2.59
"61",2,2.54
"62",2,2.4
"63",2,2.54
"64",2,2.4
"65",2,1.87
"66",2,1.34
"67",2,3.74
"68",4,7.41
"69",4,5.67
"70",4,5.6
"71",4,5.4
"72",4,5.2
"73",4,4.8
"74",4,4.74
"75",4,4.54
"76",4,4.4
"77",4,4.33
"78",4,4.13
"79",4,4
"80",4,4
"81",4,3.86
"82",4,3.66
"83",4,3.27
"84",4,3.06
"85",4,3.12
"86",4,3.26
"87",4,3.26
"88",4,3
"89",4,2.95
"90",4,2.8
"91",4,2.67
"92",4,2.53
"93",4,2.2
"94",4,2.13
"95",4,2.19
"96",4,4.34
"97",8,7.74
"98",8,6.66
"99",8,6.54
"100",8,6.27
"101",8,6
"102",8,6
"103",8,5.73
"104",8,5.06
"105",8,4.93
"106",8,4.93
"107",8,4.73
"108",8,4.66
"109",8,4.47
"110",8,4.47
"111",8,4.54
"112",8,4.33
"113",8,4.34
"114",8,4.26
"115",8,3.99
"116",8,4
"117",8,3.86
"118",8,3.73
"119",8,3.81
"120",8,3.67
"121",8,3.47
"122",8,3.53
"123",8,3.61
"124",8,3.53
"125",8,3.06
"126",8,2.53
"127",16,11.74
"128",16,10
"129",16,9.19
"130",16,8.93
"131",16,8.61
"132",16,7.67
"133",16,7.67
"134",16,7.34
"135",16,6.8
"136",16,6.8
"137",16,6.73
"138",16,6.34
"139",16,6.14
"140",16,6
"141",16,5.74
"142",16,5.6
"143",16,5.27
"144",16,5.2
"145",16,5.14
"146",16,5
"147",16,4.74
"148",16,4.06
"149",16,4.13
"150",16,4
"151",16,4.06
"152",16,4
"153",16,3.8
"154",16,3.73
"155",16,3.54
"156",16,3.39
"157",16,2.99
"158",16,3.2
"159",16,2.93
"160",16,4.74
"161",16,15.76
