BrainMass.kg,BodyMass.kg
0.024,2.863636364
0.02,2.954545455
0.02,2.954545455
0.02,3.181818182
0.022,3.227272727
0.021,3.272727273
0.022,3.272727273
0.021,3.318181818
0.023,3.318181818
0.024,3.318181818
0.02,3.363636364
0.021,3.454545455
0.022,3.454545455
0.026,3.5
0.023,3.590909091
0.022,3.590909091
0.024,3.590909091
0.024,3.590909091
0.025,3.590909091
0.027,3.636363636
0.021,3.681818182
0.021,3.727272727
0.021,3.772727273
0.026,3.772727273
0.023,3.818181818
0.021,3.863636364
0.027,3.863636364
0.022,3.863636364
0.025,3.909090909
0.021,3.954545455
0.022,3.954545455
0.024,3.954545455
0.026,3.954545455
0.024,4
0.025,4
0.025,4
0.023,4.090909091
0.023,4.090909091
0.025,4.090909091
0.027,4.090909091
0.022,4.136363636
0.022,4.136363636
0.024,4.136363636
0.028,4.136363636
0.024,4.227272727
0.025,4.227272727
0.026,4.272727273
0.026,4.272727273
0.029,4.272727273
0.02,4.318181818
0.023,4.318181818
0.023,4.363636364
0.022,4.363636364
0.022,4.363636364
0.023,4.363636364
0.027,4.363636364
0.027,4.363636364
0.022,4.409090909
0.023,4.409090909
0.021,4.454545455
0.027,4.454545455
0.029,4.5
0.031,4.5
0.028,4.545454545
0.03,4.545454545
0.023,4.590909091
0.023,4.590909091
0.026,4.590909091
0.026,4.590909091
0.029,4.590909091
0.029,4.590909091
0.021,4.590909091
0.029,4.590909091
0.024,4.636363636
0.027,4.636363636
0.028,4.636363636
0.027,4.727272727
0.03,4.727272727
0.026,4.772727273
0.023,4.818181818
0.03,4.818181818
0.029,4.818181818
0.03,4.818181818
0.022,4.863636364
0.027,4.909090909
0.022,4.954545455
0.025,4.954545455
0.022,5
0.025,5
0.037,5
0.027,5.045454545
0.023,5.090909091
0.034,5.090909091
0.029,5.136363636
0.028,5.181818182
0.026,5.227272727
0.031,5.227272727
0.033,5.227272727
0.03,5.272727273
0.032,5.272727273
0.035,5.318181818
0.029,5.363636364
0.036,5.363636364
0.032,5.409090909
0.027,5.454545455
0.028,5.454545455
0.033,5.454545455
0.031,5.5
0.03,5.545454545
0.034,5.545454545
0.032,5.590909091
0.03,5.636363636
0.034,5.636363636
0.027,5.681818182
0.031,5.681818182
0.025,5.772727273
0.025,5.772727273
0.03,5.772727273
0.034,5.818181818
0.035,5.863636364
0.03,5.909090909
0.031,5.909090909
0.032,5.909090909
0.028,6.045454545
0.03,6.045454545
0.036,6.045454545
0.028,6.136363636
0.032,6.136363636
0.032,6.181818182
0.03,6.272727273
0.033,6.409090909
0.031,6.5
0.034,6.545454545
0.036,6.727272727
0.033,6.772727273
0.036,6.818181818
0.033,7
