"Group","Arousal"
"Homophobic",39.1
"Homophobic",38
"Homophobic",14.9
"Homophobic",20.7
"Homophobic",19.5
"Homophobic",32.2
"Homophobic",11
"Homophobic",20.7
"Homophobic",26.4
"Homophobic",35.7
"Homophobic",26.4
"Homophobic",28.8
"Homophobic",33.4
"Homophobic",13.7
"Homophobic",46.1
"Homophobic",13.7
"Homophobic",23
"Homophobic",20.7
"Homophobic",19.5
"Homophobic",11.4
"Homophobic",24.1
"Homophobic",17.2
"Homophobic",38
"Homophobic",10.3
"Homophobic",35.7
"Homophobic",41.5
"Homophobic",18.4
"Homophobic",36.8
"Homophobic",54.1
"Homophobic",11.4
"Homophobic",8.7
"Homophobic",23
"Homophobic",14.3
"Homophobic",5.3
"Homophobic",6.3
"Nonhomophobic",24
"Nonhomophobic",17
"Nonhomophobic",35.8
"Nonhomophobic",18
"Nonhomophobic",-1.7
"Nonhomophobic",11.1
"Nonhomophobic",10.1
"Nonhomophobic",16.1
"Nonhomophobic",-0.7
"Nonhomophobic",14.1
"Nonhomophobic",25.9
"Nonhomophobic",23
"Nonhomophobic",20
"Nonhomophobic",14.1
"Nonhomophobic",-1.7
"Nonhomophobic",19
"Nonhomophobic",20
"Nonhomophobic",30.9
"Nonhomophobic",30.9
"Nonhomophobic",22
"Nonhomophobic",6.2
"Nonhomophobic",27.9
"Nonhomophobic",14.1
"Nonhomophobic",33.8
"Nonhomophobic",26.9
"Nonhomophobic",5.2
"Nonhomophobic",13.1
"Nonhomophobic",19
"Nonhomophobic",-15.5
