"","temperature","rate"
"1",11.9,155.03
"2",14.4,142.33
"3",15.3,140.11
"4",16.4,142.65
"5",17.9,135.24
"6",20.4,130.16
"7",19.9,124.55
"8",19.4,124.76
"9",14.9,132.28
"10",13.3,134.5
"11",12.9,124.66
"12",13.9,124.76
"13",15,124.97
"14",12.4,114.6
"15",12.9,114.6
"16",20.4,110.05
"17",13.4,109.63
"18",14.3,109.74
"19",13.9,104.87
"20",12.4,104.76
"21",11.4,104.66
"22",11.9,99.89
"23",12.4,99.89
"24",13.9,99.89
"25",13,94.81
"26",11.9,80
"27",12.5,79.89
"28",13,74.92
"29",13.5,74.92
"30",11.5,59.89
"31",16.6,75.13
"32",17.5,75.03
"33",19.6,80
"34",20.5,84.87
"35",19.9,94.81
"36",20.5,75.03
"37",20.5,70.05
"38",21.1,69.95
"39",23,79.89
"40",23.5,82.75
"41",26.6,80.21
"42",27.2,59.89
"43",29.1,80.42
"44",33.5,90.26
"45",32.5,75.03
"46",33.1,75.34
"47",33.6,70.05
"48",34,65.19
"49",31.6,70.16
"50",30.6,67.72
"51",30.1,65.29
"52",32.1,55.34
"53",32.7,55.03
"54",33.7,60.42
"55",33.1,50.58
"56",29.2,44.66
"57",13.1,44.97
